name	type	source	detector	wavelength_nominal	units	sampling_frequency
S5-D11	NIRSCWAMPLITUDE	5	11	685	n/a	10.41666666666667
S6-D11	NIRSCWAMPLITUDE	6	11	685	n/a	10.41666666666667
S7-D11	NIRSCWAMPLITUDE	7	11	685	n/a	10.41666666666667
S8-D11	NIRSCWAMPLITUDE	8	11	685	n/a	10.41666666666667
S9-D11	NIRSCWAMPLITUDE	9	11	685	n/a	10.41666666666667
S10-D11	NIRSCWAMPLITUDE	10	11	685	n/a	10.41666666666667
S11-D11	NIRSCWAMPLITUDE	11	11	685	n/a	10.41666666666667
S12-D11	NIRSCWAMPLITUDE	12	11	685	n/a	10.41666666666667
S13-D11	NIRSCWAMPLITUDE	13	11	685	n/a	10.41666666666667
S14-D11	NIRSCWAMPLITUDE	14	11	685	n/a	10.41666666666667
S15-D11	NIRSCWAMPLITUDE	15	11	685	n/a	10.41666666666667
S16-D11	NIRSCWAMPLITUDE	16	11	685	n/a	10.41666666666667
S17-D11	NIRSCWAMPLITUDE	17	11	685	n/a	10.41666666666667
S18-D11	NIRSCWAMPLITUDE	18	11	685	n/a	10.41666666666667
S19-D11	NIRSCWAMPLITUDE	19	11	685	n/a	10.41666666666667
S20-D11	NIRSCWAMPLITUDE	20	11	685	n/a	10.41666666666667
S21-D11	NIRSCWAMPLITUDE	21	11	685	n/a	10.41666666666667
S22-D11	NIRSCWAMPLITUDE	22	11	685	n/a	10.41666666666667
S23-D11	NIRSCWAMPLITUDE	23	11	685	n/a	10.41666666666667
S24-D11	NIRSCWAMPLITUDE	24	11	685	n/a	10.41666666666667
S25-D11	NIRSCWAMPLITUDE	25	11	685	n/a	10.41666666666667
S26-D11	NIRSCWAMPLITUDE	26	11	685	n/a	10.41666666666667
S27-D11	NIRSCWAMPLITUDE	27	11	685	n/a	10.41666666666667
S28-D11	NIRSCWAMPLITUDE	28	11	685	n/a	10.41666666666667
S1-D12	NIRSCWAMPLITUDE	1	12	685	n/a	10.41666666666667
S2-D12	NIRSCWAMPLITUDE	2	12	685	n/a	10.41666666666667
S3-D12	NIRSCWAMPLITUDE	3	12	685	n/a	10.41666666666667
S4-D12	NIRSCWAMPLITUDE	4	12	685	n/a	10.41666666666667
S5-D12	NIRSCWAMPLITUDE	5	12	685	n/a	10.41666666666667
S6-D12	NIRSCWAMPLITUDE	6	12	685	n/a	10.41666666666667
S7-D12	NIRSCWAMPLITUDE	7	12	685	n/a	10.41666666666667
S8-D12	NIRSCWAMPLITUDE	8	12	685	n/a	10.41666666666667
S9-D12	NIRSCWAMPLITUDE	9	12	685	n/a	10.41666666666667
S10-D12	NIRSCWAMPLITUDE	10	12	685	n/a	10.41666666666667
S11-D12	NIRSCWAMPLITUDE	11	12	685	n/a	10.41666666666667
S12-D12	NIRSCWAMPLITUDE	12	12	685	n/a	10.41666666666667
S13-D12	NIRSCWAMPLITUDE	13	12	685	n/a	10.41666666666667
S14-D12	NIRSCWAMPLITUDE	14	12	685	n/a	10.41666666666667
S15-D12	NIRSCWAMPLITUDE	15	12	685	n/a	10.41666666666667
S16-D12	NIRSCWAMPLITUDE	16	12	685	n/a	10.41666666666667
S17-D12	NIRSCWAMPLITUDE	17	12	685	n/a	10.41666666666667
S18-D12	NIRSCWAMPLITUDE	18	12	685	n/a	10.41666666666667
S19-D12	NIRSCWAMPLITUDE	19	12	685	n/a	10.41666666666667
S20-D12	NIRSCWAMPLITUDE	20	12	685	n/a	10.41666666666667
S21-D12	NIRSCWAMPLITUDE	21	12	685	n/a	10.41666666666667
S22-D12	NIRSCWAMPLITUDE	22	12	685	n/a	10.41666666666667
S23-D12	NIRSCWAMPLITUDE	23	12	685	n/a	10.41666666666667
S24-D12	NIRSCWAMPLITUDE	24	12	685	n/a	10.41666666666667
S26-D12	NIRSCWAMPLITUDE	26	12	685	n/a	10.41666666666667
S27-D12	NIRSCWAMPLITUDE	27	12	685	n/a	10.41666666666667
S28-D12	NIRSCWAMPLITUDE	28	12	685	n/a	10.41666666666667
S110-D12	NIRSCWAMPLITUDE	110	12	685	n/a	10.41666666666667
S116-D12	NIRSCWAMPLITUDE	116	12	685	n/a	10.41666666666667
S1-D13	NIRSCWAMPLITUDE	1	13	685	n/a	10.41666666666667
S2-D13	NIRSCWAMPLITUDE	2	13	685	n/a	10.41666666666667
S5-D13	NIRSCWAMPLITUDE	5	13	685	n/a	10.41666666666667
S6-D13	NIRSCWAMPLITUDE	6	13	685	n/a	10.41666666666667
S7-D13	NIRSCWAMPLITUDE	7	13	685	n/a	10.41666666666667
S9-D13	NIRSCWAMPLITUDE	9	13	685	n/a	10.41666666666667
S10-D13	NIRSCWAMPLITUDE	10	13	685	n/a	10.41666666666667
S11-D13	NIRSCWAMPLITUDE	11	13	685	n/a	10.41666666666667
S12-D13	NIRSCWAMPLITUDE	12	13	685	n/a	10.41666666666667
S13-D13	NIRSCWAMPLITUDE	13	13	685	n/a	10.41666666666667
S14-D13	NIRSCWAMPLITUDE	14	13	685	n/a	10.41666666666667
S15-D13	NIRSCWAMPLITUDE	15	13	685	n/a	10.41666666666667
S16-D13	NIRSCWAMPLITUDE	16	13	685	n/a	10.41666666666667
S17-D13	NIRSCWAMPLITUDE	17	13	685	n/a	10.41666666666667
S18-D13	NIRSCWAMPLITUDE	18	13	685	n/a	10.41666666666667
S19-D13	NIRSCWAMPLITUDE	19	13	685	n/a	10.41666666666667
S20-D13	NIRSCWAMPLITUDE	20	13	685	n/a	10.41666666666667
S21-D13	NIRSCWAMPLITUDE	21	13	685	n/a	10.41666666666667
S22-D13	NIRSCWAMPLITUDE	22	13	685	n/a	10.41666666666667
S23-D13	NIRSCWAMPLITUDE	23	13	685	n/a	10.41666666666667
S25-D13	NIRSCWAMPLITUDE	25	13	685	n/a	10.41666666666667
S26-D13	NIRSCWAMPLITUDE	26	13	685	n/a	10.41666666666667
S27-D13	NIRSCWAMPLITUDE	27	13	685	n/a	10.41666666666667
S29-D13	NIRSCWAMPLITUDE	29	13	685	n/a	10.41666666666667
S30-D13	NIRSCWAMPLITUDE	30	13	685	n/a	10.41666666666667
S31-D13	NIRSCWAMPLITUDE	31	13	685	n/a	10.41666666666667
S1-D14	NIRSCWAMPLITUDE	1	14	685	n/a	10.41666666666667
S2-D14	NIRSCWAMPLITUDE	2	14	685	n/a	10.41666666666667
S3-D14	NIRSCWAMPLITUDE	3	14	685	n/a	10.41666666666667
S5-D14	NIRSCWAMPLITUDE	5	14	685	n/a	10.41666666666667
S6-D14	NIRSCWAMPLITUDE	6	14	685	n/a	10.41666666666667
S7-D14	NIRSCWAMPLITUDE	7	14	685	n/a	10.41666666666667
S8-D14	NIRSCWAMPLITUDE	8	14	685	n/a	10.41666666666667
S9-D14	NIRSCWAMPLITUDE	9	14	685	n/a	10.41666666666667
S10-D14	NIRSCWAMPLITUDE	10	14	685	n/a	10.41666666666667
S11-D14	NIRSCWAMPLITUDE	11	14	685	n/a	10.41666666666667
S12-D14	NIRSCWAMPLITUDE	12	14	685	n/a	10.41666666666667
S13-D14	NIRSCWAMPLITUDE	13	14	685	n/a	10.41666666666667
S14-D14	NIRSCWAMPLITUDE	14	14	685	n/a	10.41666666666667
S15-D14	NIRSCWAMPLITUDE	15	14	685	n/a	10.41666666666667
S16-D14	NIRSCWAMPLITUDE	16	14	685	n/a	10.41666666666667
S17-D14	NIRSCWAMPLITUDE	17	14	685	n/a	10.41666666666667
S18-D14	NIRSCWAMPLITUDE	18	14	685	n/a	10.41666666666667
S19-D14	NIRSCWAMPLITUDE	19	14	685	n/a	10.41666666666667
S20-D14	NIRSCWAMPLITUDE	20	14	685	n/a	10.41666666666667
S21-D14	NIRSCWAMPLITUDE	21	14	685	n/a	10.41666666666667
S22-D14	NIRSCWAMPLITUDE	22	14	685	n/a	10.41666666666667
S23-D14	NIRSCWAMPLITUDE	23	14	685	n/a	10.41666666666667
S24-D14	NIRSCWAMPLITUDE	24	14	685	n/a	10.41666666666667
S25-D14	NIRSCWAMPLITUDE	25	14	685	n/a	10.41666666666667
S26-D14	NIRSCWAMPLITUDE	26	14	685	n/a	10.41666666666667
S27-D14	NIRSCWAMPLITUDE	27	14	685	n/a	10.41666666666667
S28-D14	NIRSCWAMPLITUDE	28	14	685	n/a	10.41666666666667
S29-D14	NIRSCWAMPLITUDE	29	14	685	n/a	10.41666666666667
S30-D14	NIRSCWAMPLITUDE	30	14	685	n/a	10.41666666666667
S31-D14	NIRSCWAMPLITUDE	31	14	685	n/a	10.41666666666667
S32-D14	NIRSCWAMPLITUDE	32	14	685	n/a	10.41666666666667
S1-D15	NIRSCWAMPLITUDE	1	15	685	n/a	10.41666666666667
S2-D15	NIRSCWAMPLITUDE	2	15	685	n/a	10.41666666666667
S3-D15	NIRSCWAMPLITUDE	3	15	685	n/a	10.41666666666667
S4-D15	NIRSCWAMPLITUDE	4	15	685	n/a	10.41666666666667
S5-D15	NIRSCWAMPLITUDE	5	15	685	n/a	10.41666666666667
S6-D15	NIRSCWAMPLITUDE	6	15	685	n/a	10.41666666666667
S7-D15	NIRSCWAMPLITUDE	7	15	685	n/a	10.41666666666667
S8-D15	NIRSCWAMPLITUDE	8	15	685	n/a	10.41666666666667
S9-D15	NIRSCWAMPLITUDE	9	15	685	n/a	10.41666666666667
S10-D15	NIRSCWAMPLITUDE	10	15	685	n/a	10.41666666666667
S11-D15	NIRSCWAMPLITUDE	11	15	685	n/a	10.41666666666667
S12-D15	NIRSCWAMPLITUDE	12	15	685	n/a	10.41666666666667
S13-D15	NIRSCWAMPLITUDE	13	15	685	n/a	10.41666666666667
S14-D15	NIRSCWAMPLITUDE	14	15	685	n/a	10.41666666666667
S15-D15	NIRSCWAMPLITUDE	15	15	685	n/a	10.41666666666667
S16-D15	NIRSCWAMPLITUDE	16	15	685	n/a	10.41666666666667
S17-D15	NIRSCWAMPLITUDE	17	15	685	n/a	10.41666666666667
S18-D15	NIRSCWAMPLITUDE	18	15	685	n/a	10.41666666666667
S19-D15	NIRSCWAMPLITUDE	19	15	685	n/a	10.41666666666667
S20-D15	NIRSCWAMPLITUDE	20	15	685	n/a	10.41666666666667
S21-D15	NIRSCWAMPLITUDE	21	15	685	n/a	10.41666666666667
S22-D15	NIRSCWAMPLITUDE	22	15	685	n/a	10.41666666666667
S23-D15	NIRSCWAMPLITUDE	23	15	685	n/a	10.41666666666667
S24-D15	NIRSCWAMPLITUDE	24	15	685	n/a	10.41666666666667
S25-D15	NIRSCWAMPLITUDE	25	15	685	n/a	10.41666666666667
